PING 192.168.4.2 (192.168.4.2) 56(84) bytes of data.
64 bytes from 192.168.4.2: icmp_seq=256 ttl=255 time=21.0 ms
64 bytes from 192.168.4.2: icmp_seq=257 ttl=255 time=19.1 ms
64 bytes from 192.168.4.2: icmp_seq=258 ttl=255 time=18.2 ms
64 bytes from 192.168.4.2: icmp_seq=259 ttl=255 time=16.9 ms
64 bytes from 192.168.4.2: icmp_seq=260 ttl=255 time=25.4 ms
64 bytes from 192.168.4.2: icmp_seq=261 ttl=255 time=18.6 ms
64 bytes from 192.168.4.2: icmp_seq=262 ttl=255 time=22.3 ms
64 bytes from 192.168.4.2: icmp_seq=263 ttl=255 time=26.0 ms
64 bytes from 192.168.4.2: icmp_seq=264 ttl=255 time=19.6 ms
64 bytes from 192.168.4.2: icmp_seq=265 ttl=255 time=18.2 ms
64 bytes from 192.168.4.2: icmp_seq=266 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=267 ttl=255 time=21.2 ms
64 bytes from 192.168.4.2: icmp_seq=268 ttl=255 time=20.0 ms
64 bytes from 192.168.4.2: icmp_seq=269 ttl=255 time=18.0 ms
64 bytes from 192.168.4.2: icmp_seq=270 ttl=255 time=16.9 ms
64 bytes from 192.168.4.2: icmp_seq=271 ttl=255 time=19.9 ms
64 bytes from 192.168.4.2: icmp_seq=272 ttl=255 time=18.0 ms
64 bytes from 192.168.4.2: icmp_seq=273 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=274 ttl=255 time=21.0 ms
64 bytes from 192.168.4.2: icmp_seq=275 ttl=255 time=20.2 ms
64 bytes from 192.168.4.2: icmp_seq=276 ttl=255 time=19.0 ms
64 bytes from 192.168.4.2: icmp_seq=277 ttl=255 time=17.9 ms
64 bytes from 192.168.4.2: icmp_seq=278 ttl=255 time=21.0 ms
64 bytes from 192.168.4.2: icmp_seq=279 ttl=255 time=20.0 ms
64 bytes from 192.168.4.2: icmp_seq=280 ttl=255 time=18.9 ms
64 bytes from 192.168.4.2: icmp_seq=281 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=282 ttl=255 time=20.9 ms
64 bytes from 192.168.4.2: icmp_seq=283 ttl=255 time=19.1 ms
64 bytes from 192.168.4.2: icmp_seq=284 ttl=255 time=18.0 ms
64 bytes from 192.168.4.2: icmp_seq=285 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=286 ttl=255 time=20.9 ms
64 bytes from 192.168.4.2: icmp_seq=287 ttl=255 time=19.1 ms
64 bytes from 192.168.4.2: icmp_seq=288 ttl=255 time=18.1 ms
64 bytes from 192.168.4.2: icmp_seq=289 ttl=255 time=16.9 ms
64 bytes from 192.168.4.2: icmp_seq=290 ttl=255 time=19.9 ms
64 bytes from 192.168.4.2: icmp_seq=291 ttl=255 time=18.0 ms
64 bytes from 192.168.4.2: icmp_seq=292 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=293 ttl=255 time=21.1 ms
64 bytes from 192.168.4.2: icmp_seq=294 ttl=255 time=20.0 ms
64 bytes from 192.168.4.2: icmp_seq=295 ttl=255 time=18.1 ms
64 bytes from 192.168.4.2: icmp_seq=296 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=297 ttl=255 time=20.9 ms
64 bytes from 192.168.4.2: icmp_seq=298 ttl=255 time=19.1 ms
64 bytes from 192.168.4.2: icmp_seq=299 ttl=255 time=18.0 ms
64 bytes from 192.168.4.2: icmp_seq=300 ttl=255 time=17.1 ms
64 bytes from 192.168.4.2: icmp_seq=301 ttl=255 time=21.0 ms
64 bytes from 192.168.4.2: icmp_seq=302 ttl=255 time=20.1 ms
64 bytes from 192.168.4.2: icmp_seq=303 ttl=255 time=18.9 ms
64 bytes from 192.168.4.2: icmp_seq=304 ttl=255 time=17.1 ms
64 bytes from 192.168.4.2: icmp_seq=305 ttl=255 time=21.0 ms
64 bytes from 192.168.4.2: icmp_seq=306 ttl=255 time=20.1 ms
64 bytes from 192.168.4.2: icmp_seq=307 ttl=255 time=19.1 ms
64 bytes from 192.168.4.2: icmp_seq=308 ttl=255 time=18.0 ms
64 bytes from 192.168.4.2: icmp_seq=309 ttl=255 time=17.2 ms
64 bytes from 192.168.4.2: icmp_seq=310 ttl=255 time=20.9 ms
64 bytes from 192.168.4.2: icmp_seq=311 ttl=255 time=19.0 ms
64 bytes from 192.168.4.2: icmp_seq=312 ttl=255 time=17.9 ms
